arm,is_forgery,doc_type,file,n_revisions,modified_after_creation,n_fonts,flagged
genuine,False,invoice,genuine/invoices/invoice_001.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_002.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_003.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_004.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_005.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_006.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_007.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_008.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_009.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_010.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_011.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_012.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_013.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_014.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_015.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_016.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_017.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_018.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_019.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_020.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_021.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_022.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_023.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_024.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_025.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_026.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_027.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_028.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_029.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_030.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_031.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_032.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_033.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_034.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_035.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_036.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_037.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_038.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_039.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_040.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_041.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_042.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_043.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_044.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_045.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_046.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_047.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_048.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_049.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_050.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_051.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_052.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_053.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_054.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_055.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_056.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_057.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_058.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_059.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_060.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_061.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_062.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_063.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_064.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_065.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_066.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_067.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_068.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_069.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_070.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_071.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_072.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_073.pdf,1,False,2,False
genuine,False,invoice,genuine/invoices/invoice_074.pdf,1,False,3,False
genuine,False,invoice,genuine/invoices/invoice_075.pdf,1,False,3,False
