arm,doc_type,file,genre,desktop_producer,date_gap_days,unsigned,sig_A,sig_B,sig_C,score,grade,flagged
genuine,invoice,genuine/invoices/invoice_001.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_002.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_003.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_004.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_005.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_006.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_007.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_008.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_009.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_010.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_011.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_012.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_013.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_014.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_015.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_016.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_017.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_018.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_019.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_020.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_021.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_022.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_023.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_024.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_025.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_026.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_027.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_028.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_029.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_030.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_031.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_032.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_033.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_034.pdf,invoice,False,1,True,0,0,0,0,clear,False
genuine,invoice,genuine/invoices/invoice_035.pdf,invoice,False,1,True,0,0,0,0,clear,False
